2024-12-13 21:03:24,341 Starting experiment run_id=final_run
2024-12-13 21:03:24,683 Running seed 0
2024-12-13 21:58:46,504 [Supervised] Seed 1 Epoch 6/50: Train Loss 0.9111, Val Loss 0.5293
2024-12-13 21:59:06,532 [Supervised] Seed 1 Epoch 7/50: Train Loss 0.9106, Val Loss 0.5297
2024-12-13 21:59:27,457 [Supervised] Seed 1 Epoch 8/50: Train Loss 0.9094, Val Loss 0.5307
2024-12-13 21:59:47,285 [Supervised] Seed 1 Epoch 9/50: Train Loss 0.9085, Val Loss 0.5338
2024-12-13 22:00:07,744 [Supervised] Seed 1 Epoch 10/50: Train Loss 0.9089, Val Loss 0.5283
2024-12-13 22:00:27,414 [Supervised] Seed 1 Epoch 11/50: Train Loss 0.9083, Val Loss 0.5306
2024-12-13 22:00:47,742 [Supervised] Seed 1 Epoch 12/50: Train Loss 0.9072, Val Loss 0.5256
2024-12-13 22:01:07,875 [Supervised] Seed 1 Epoch 13/50: Train Loss 0.9088, Val Loss 0.5296
2024-12-13 22:01:27,866 [Supervised] Seed 1 Epoch 14/50: Train Loss 0.9077, Val Loss 0.5283
2024-12-13 22:01:47,022 [Supervised] Seed 1 Epoch 15/50: Train Loss 0.9074, Val Loss 0.5280
2024-12-13 22:02:07,854 [Supervised] Seed 1 Epoch 16/50: Train Loss 0.9070, Val Loss 0.5275
2024-12-13 22:02:26,628 [Supervised] Seed 1 Epoch 17/50: Train Loss 0.9048, Val Loss 0.5225
2024-12-13 22:02:46,134 [Supervised] Seed 1 Epoch 18/50: Train Loss 0.9048, Val Loss 0.5281
2024-12-13 22:03:06,285 [Supervised] Seed 1 Epoch 19/50: Train Loss 0.9054, Val Loss 0.5329
2024-12-13 22:03:25,458 [Supervised] Seed 1 Epoch 20/50: Train Loss 0.9065, Val Loss 0.5303
2024-12-13 22:03:44,896 [Supervised] Seed 1 Epoch 21/50: Train Loss 0.9073, Val Loss 0.5277
2024-12-13 22:04:04,591 [Supervised] Seed 1 Epoch 22/50: Train Loss 0.9059, Val Loss 0.5299
2024-12-13 22:04:25,361 [Supervised] Seed 1 Epoch 23/50: Train Loss 0.9056, Val Loss 0.5308
2024-12-13 22:04:44,793 [Supervised] Seed 1 Epoch 24/50: Train Loss 0.9031, Val Loss 0.5231
2024-12-13 22:05:04,432 [Supervised] Seed 1 Epoch 25/50: Train Loss 0.9044, Val Loss 0.5285
2024-12-13 22:05:25,560 [Supervised] Seed 1 Epoch 26/50: Train Loss 0.9027, Val Loss 0.5242
2024-12-13 22:05:45,729 [Supervised] Seed 1 Epoch 27/50: Train Loss 0.9025, Val Loss 0.5258
2024-12-13 22:05:45,729 Early stopping supervised seed 1
2024-12-13 22:06:02,546 Running seed 2
2024-12-13 22:07:02,245 [Pretraining] Seed 2 Epoch 1/50: Train Loss 0.1008, Val Loss 0.0355
2024-12-13 22:08:01,270 [Pretraining] Seed 2 Epoch 2/50: Train Loss 0.0377, Val Loss 0.0730
2024-12-13 22:08:57,277 [Pretraining] Seed 2 Epoch 3/50: Train Loss 0.0271, Val Loss 0.0222
2024-12-13 22:09:55,194 [Pretraining] Seed 2 Epoch 4/50: Train Loss 0.0137, Val Loss 0.0201
2024-12-13 22:10:55,101 [Pretraining] Seed 2 Epoch 5/50: Train Loss 0.0131, Val Loss 0.0220
2024-12-13 22:11:55,134 [Pretraining] Seed 2 Epoch 6/50: Train Loss 0.0111, Val Loss 0.0193
2024-12-13 22:12:52,183 [Pretraining] Seed 2 Epoch 7/50: Train Loss 0.0088, Val Loss 0.0157
2024-12-13 22:13:52,224 [Pretraining] Seed 2 Epoch 8/50: Train Loss 0.0094, Val Loss 0.0258
2024-12-13 22:14:49,960 [Pretraining] Seed 2 Epoch 9/50: Train Loss 0.0081, Val Loss 0.0197
2024-12-13 22:15:49,148 [Pretraining] Seed 2 Epoch 10/50: Train Loss 0.0072, Val Loss 0.0190
2024-12-13 22:16:48,194 [Pretraining] Seed 2 Epoch 11/50: Train Loss 0.0070, Val Loss 0.0299
2024-12-13 22:17:49,206 [Pretraining] Seed 2 Epoch 12/50: Train Loss 0.0065, Val Loss 0.0238
2024-12-13 22:18:48,868 [Pretraining] Seed 2 Epoch 13/50: Train Loss 0.0053, Val Loss 0.0242
2024-12-13 22:19:47,892 [Pretraining] Seed 2 Epoch 14/50: Train Loss 0.0032, Val Loss 0.0162
2024-12-13 22:20:48,048 [Pretraining] Seed 2 Epoch 15/50: Train Loss 0.0030, Val Loss 0.0139
2024-12-13 22:21:48,367 [Pretraining] Seed 2 Epoch 16/50: Train Loss 0.0032, Val Loss 0.0202
2024-12-13 22:22:48,796 [Pretraining] Seed 2 Epoch 17/50: Train Loss 0.0035, Val Loss 0.0175
2024-12-13 22:23:49,457 [Pretraining] Seed 2 Epoch 18/50: Train Loss 0.0026, Val Loss 0.0227
2024-12-13 22:24:49,156 [Pretraining] Seed 2 Epoch 19/50: Train Loss 0.0033, Val Loss 0.0187
2024-12-13 22:25:35,687 [Pretraining] Seed 2 Epoch 20/50: Train Loss 0.0031, Val Loss 0.0200
2024-12-13 22:26:21,715 [Pretraining] Seed 2 Epoch 21/50: Train Loss 0.0034, Val Loss 0.0180
2024-12-13 22:27:03,759 [Pretraining] Seed 2 Epoch 22/50: Train Loss 0.0022, Val Loss 0.0148
2024-12-13 22:27:49,837 [Pretraining] Seed 2 Epoch 23/50: Train Loss 0.0020, Val Loss 0.0184
2024-12-13 22:28:33,772 [Pretraining] Seed 2 Epoch 24/50: Train Loss 0.0018, Val Loss 0.0202
2024-12-13 22:29:17,099 [Pretraining] Seed 2 Epoch 25/50: Train Loss 0.0018, Val Loss 0.0204
2024-12-13 22:29:17,101 Early stopping pretraining seed 2
2024-12-13 22:29:32,909 [Supervised] Seed 2 Epoch 1/50: Train Loss 0.9673, Val Loss 0.5415
2024-12-13 22:29:47,211 [Supervised] Seed 2 Epoch 2/50: Train Loss 0.9205, Val Loss 0.5347
2024-12-13 22:30:03,154 [Supervised] Seed 2 Epoch 3/50: Train Loss 0.9137, Val Loss 0.5334
